germplasmName,germplasmPUI,season_4,season_6
PI221548,https://purl.org/germplasm/id/dd1e5189-e9b1-4f9b-b207-f04822064add,TRUE,TRUE
PI576401,https://purl.org/germplasm/id/6bf2d2e7-8806-4721-b603-9973b999ff13,TRUE,TRUE
PI570388,https://purl.org/germplasm/id/98b6133c-76f9-46ae-a6e1-e49f96a99d65,TRUE,TRUE
PI152651,https://purl.org/germplasm/id/1fa3d272-de99-484b-ba10-72468ed68709,TRUE,TRUE
PI329351,https://purl.org/germplasm/id/25c07ed7-ae91-4481-b76d-e1e7f40eae2a,TRUE,TRUE
PI646242,https://purl.org/germplasm/id/98e4fae2-ccd5-49ca-8da0-db3d76aced6c,TRUE,TRUE
PI329618,,TRUE,TRUE
PI330196,https://purl.org/germplasm/id/62711cf9-90b6-4396-be6d-55248739d98d,TRUE,TRUE
PI156268,,TRUE,TRUE
PI570393,https://purl.org/germplasm/id/33134da8-d34f-4d69-8b8c-fa6a0be70e49,TRUE,NA
PI155885,https://purl.org/germplasm/id/78481777-3420-4bc4-9756-7580c9b78547,TRUE,TRUE
PI329338,https://purl.org/germplasm/id/24869fe2-5f9d-4b33-aef1-b23a8f11fc2b,TRUE,TRUE
PI146890,https://purl.org/germplasm/id/9004ab74-8c76-47e8-82ca-35a4bfdf1618,TRUE,TRUE
PI330169,https://purl.org/germplasm/id/2b0a5697-32e3-49ce-bfcb-ce9617fd5cbc,TRUE,TRUE
PI641825,,TRUE,TRUE
PI583832,https://purl.org/germplasm/id/62ccdfcf-43e1-4e0f-bb50-4436eff798db,TRUE,TRUE
PI329299,https://purl.org/germplasm/id/aeda869f-23ea-4662-ae5c-2caea77bb119,TRUE,NA
PI154844,,TRUE,TRUE
PI570110,https://purl.org/germplasm/id/226bf366-66f6-423e-a38b-f8413a52fd96,TRUE,TRUE
PI455280,https://purl.org/germplasm/id/1ff6886f-7952-48b3-a3a2-b8da0aa88de1,TRUE,TRUE
PI329546,https://purl.org/germplasm/id/bfa91f96-774e-4a92-ae88-cd0920dbec2b,TRUE,TRUE
PI562998,https://purl.org/germplasm/id/1145abd2-b0a4-4425-acda-256bea603200,TRUE,TRUE
PI521290,https://purl.org/germplasm/id/dcb0d5ae-716d-46c2-862a-0c3ec290161c,TRUE,TRUE
PI570254,,TRUE,TRUE
PI653617,https://purl.org/germplasm/id/be98e010-af40-44d9-a764-3276e9ca58f7,TRUE,TRUE
PI455301,https://purl.org/germplasm/id/6b64f773-5bf5-4c40-83aa-40557e0d9538,TRUE,TRUE
PI569458,https://purl.org/germplasm/id/4ab1727e-efb3-4d84-b7cc-2e23a7f1be9f,TRUE,TRUE
PI521019,https://purl.org/germplasm/id/c8ecfd05-39e7-4061-bbef-b106475995a8,TRUE,TRUE
PI455217,https://purl.org/germplasm/id/3ede5f43-6773-4ba5-a70a-094b3483207e,TRUE,TRUE
PI563222,,TRUE,TRUE
PI562981,https://purl.org/germplasm/id/4a014b39-ee29-4d19-889f-66ca2a76244a,TRUE,TRUE
PI570031,https://purl.org/germplasm/id/73c67054-8a74-4fe3-bed5-406fcdaeb615,TRUE,TRUE
PI570400,https://purl.org/germplasm/id/c19163c9-9d31-4688-a27b-d4cc1e4829b6,TRUE,TRUE
PI533792,https://purl.org/germplasm/id/3788f357-729f-4f19-a65c-a16932b325f0,TRUE,NA
PI569457,https://purl.org/germplasm/id/74bae204-f0af-409a-869d-d9dacd73683d,TRUE,TRUE
PI535795,https://purl.org/germplasm/id/a61d2dd3-3a7b-4b0a-aa60-936d6057fd97,TRUE,TRUE
PI329710,https://purl.org/germplasm/id/7a4e3695-427d-46ab-8e5d-af1b7dbd73ba,TRUE,TRUE
PI570109,,TRUE,TRUE
PI562897,https://purl.org/germplasm/id/73bbfc9e-c61a-4ec3-ada7-2a12b322692d,TRUE,TRUE
PI569420,https://purl.org/germplasm/id/ec65a095-18e3-4482-843a-43f70a5132f6,TRUE,TRUE
PI641810,https://purl.org/germplasm/id/b54c5855-ccfc-49f7-a7c2-bfc55b21ade7,TRUE,TRUE
PI213900,,TRUE,TRUE
PI196586,https://purl.org/germplasm/id/5a4c7d0e-9b29-4337-b62f-63f4b42fd43e,TRUE,TRUE
PI329300,https://purl.org/germplasm/id/d19e64cf-5ca3-447f-832a-f776f9e635f8,TRUE,TRUE
PI154987,https://purl.org/germplasm/id/2c443cb1-b34c-4122-9759-d2801e8894fc,TRUE,TRUE
PI152771,https://purl.org/germplasm/id/19532f92-fd5c-4377-a1b9-83520c7a3717,TRUE,TRUE
