name,description,author,title,year,journal
Manual canopy height,"Canopy height estimates for each single row of 2-row plots.  Measured in cm using meter stick, taken at the height representing the plot 'potential', ignoring stunted plants. The canopy height was measured as the height of the foliage (not the inflorescence) at the general top of the canopy where the upper leaves bend and/or establish a canopy surface that would support a very light horizontal object (imagining a light sheet of rigid plastic foam), discounting rare or exceptional leaves in the upper-most 2 or 3 percentile.","Newcomb, Maria",Field measurements from Maricopa Agricultural Center,2016,
Green Canopy Cover Estimation from Field Scanner RGB images,,"Pless, Robert",High Throughput Phenotyping Algorithms,2016,
Canopy cover estimation from ground-based conventional photographs,"This protocol describes a method for estimating canopy cover from photos obtained using conventional digital camera mounted on a custom-designed A-frame support. The images are processed with ImageJ to obtain an estimate of canopy cover.  The protocol steps and ImageJ settings and macro are described in the protocols.io open repository within the TERRA-REF group documents.  See the following link:  
https://www.protocols.io/private/62a12dab1aa66fbec0e2c02cfcec52cd​ ","Newcomb, Maria",Maricopa Agricultural Center Field Measurements and Activities,2017,
Scanner 3d ply data to height,height Estimation from 3D Scanner using formula: [hand height] = [(35th percentile from E + 35th percentile from W) / 2] cm * 0.97841 + 25.678cm.,"Zongyang, Li",Maricopa Field Station Data and Metadata,2016,unpublished
Visual classification of sorghum growth stages to determine estimates of developmental timing,"Sorghum growth stage descriptions follow Vanderlip RL. 1993. How a sorghum plant develops. Manhattan, KS, USA: Kansas State University Cooperative Extension. 
Growth stages grouped by the following categories:  vegetative growth prior to flag leaf emergence; flag leaf emergence; heading; flowering (anthesis); milk stage; soft dough stage; and hard dough stage.  The first date of each growth stage recorded by plot based on observations made in the field at intervals that varied from 3 to 7 days, more frequently during the early season with warmer temperatures and less frequently later season when temperatures decreased.  The time between sowing and the first date of each growth stage was calculated to determine the following plant variables: 
flag_leaf_emergence_time; 
heading_time; 
flowering_time; 
grain_milk_stage_time; 
grain_soft_dough_stage_time; 
grain_hard_dough_stage time 




  ","Newcomb, Maria",Field measurements from Maricopa Agricultural Center,2016,
Leaf surface temperature and stomatal conductance estimates using hand-held instruments,"Repeat measurements were taken using hand-held instruments to estimate leaf surface temperatures and leaf stomatal conductance within 6-8 select plots (3-4 accessions x 2 replicates) on 7 dates in mid to late June 2017 (sorghum season 4) as part of a focused field phenotyping campaign related to stomatal regulation.  Leaf surface temperatures were estimated using a FLIR TG167 Spot Thermal Camera (http://www.flir.com/instruments/tg167/) and an Apogee Infrared Radiometer Model MI-230 (https://www.apogeeinstruments.com/ultra-narrow-field-of-view-infrared-radiometer-with-handheld-meter-mi-230/).  Measurements were taken on sunlit leaves, targeting fully expanded when possible, at a distance of approximately 20 to 40 cm above the leaf surface.  Within each plot and at each measurement time, 6 total measurements were taken using the FLIR and Apogee instruments, with 3 measurements taken in each of the West and East subplot rows.  Leaf stomatal conductance was measured using a Decagon SC-1 Porometer (https://www.decagon.com/en/canopy/canopy-measurements/sc-1-leaf-porometer-stomatal-conductance-measurements/).  Within each plot and at each measurement time, 5 total measurements were taken using the porometer, on sunlit leaves targeting fully expanded leaves when possible.  On each of the 7 dates when measurements were taken, early morning baseline equilibrium readings starting at 5:45 to 6:00 for one cycle through all 8 plots.  Mid-day readings started at roughly 11:00 and continued through 3 repeat cycles of the 6-8 plots until roughly 15:00 to 16:00.  The porometer was calibrated at least once in the early morning and again before the mid-day readings.  The FLIR TG167 spot camera was tested against a thermal blackbody unit on 2017-06-21 (recorded 5 readings at 34.5 to 34.6 C while the thermal blackbody recorded 33.9 C).  During the later measurement dates, 2 plots were dropped from the repeat measurement cycles because they had grown out of reach for hand measurements. ","Newcomb, Maria",Maricopa Agricultural Center Field Measurements and Activities,2017,
Mean temperature from infrared images,"Clip individual or stitched thermal image to bounding box; compute mean temperature.

Computed by https://github.com/terraref/extractors-multispectral/tree/master/meantemp or similar algorithm. ","Zongyang, Li",Maricopa Field Station Data and Metadata,2016,unpublished
Whole above ground biomass at harvest,The whole above ground biomass expressed on dry matter (field) basis that was harvested per unit area.,NA,NA,NA,NA
Whole above ground biomass moisture content,CO_324:0000564 Whole above ground biomass moisture content.,NA,NA,NA,NA
Planter seed drop count,From planter file recorded by Kincaid precision planter laser counter and associated planter software. Planted length of each subplot row approximately 3.5 meters.,NA,NA,NA,NA
Aboveground fresh biomass at harvest,The whole above ground biomass expressed fresh (field) basis that was harvested per unit area.,NA,NA,NA,NA
Seedling emergence rate count,Ratio of the number of seedlings emerged to the number of seeds dropped by planter during planting. Emerged seedlings counted manually by subplot row. Seed drop counts recorded by Kincaid precision planter laser counter during planting. Planted length of each subplot row approximately 3.5 meters.,NA,NA,NA,NA
MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,"Measurements of multiple photynthesis-related parameters were taken on sunlit leaves in the upper canopy using the handheld MultispeQ v1.0 instrument and the Leaf Photosynthesis protocol macro code developed by PhotosynQ Admin.  (https://photosynq.org/protocols/leaf-photosynthesis-multispeq-v1-0) 
Measurements made during August 2017 in the BAP experiment required a ladder to access leaves in the upper canopy.  Repeat measurements were taken on select plots between approximately 10:30 and 14:30, typically cycling through 8 plots (4 accessions x 2 reps) several times to establish a time series of the parameters centered around solar noon.  At each sampling time for each plot, 6 subsample measurements were taken within the plot.  During August 2017 irrigation treatments were implemented at two levels (water-deficit zones with no irrigation and well-watered zones irrigated for optimal plant water status).  Plots were selected for measurements within each of the two irrigation treatments. ","Newcomb, Maria",Maricopa Agricultural Center Field Measurements and Activities,2017,
3D scanner to 98th quantile height,Using point cloud file from laser scanner and generates plot-level canopy height estimation(98th quantile) traits,"Zongyang, Li",Maricopa Field Station Data and Metadata,2018,
3D scanner to leaf angle distribution,"Using 3d data from laser scanner to compute leaf normal orientation and then leads to leaf angle distribution. At last we generate leaf angle mean and variance,  two-parameter beta distribution and chi-parameter as our ‘single value traits’","Zongyang, Li",Maricopa Field Station Data and Metadata,2018,
3D scanner to leaf length and width,Using the connected component and heuristic search to find leaf. Then find the shortest path as the leaf length and the longest perpendicular path as width,Zeyu Zhang,Maricopa Field Station Data and Metadata,2019,
3D scanner to panicle count faster_rcnn + roughness threshold + convex hull,"Using 3d data from laser scanner, use faster rcnn do object(panicle) detection. Then use panicle bounding boxes, generates counting, convex hull volume/area of panicles per plot.","Zongyang, Li",Maricopa Field Station Data and Metadata,2018,
Visual assessment of leaf dessication,Leaves were visually scored for the presence (1) or absence (0) of leaf dessication in the plot as judged by a trained indiviudal. Desication was considered tan to dark nectrotic tissue on a fullly emerged leaf.,NA,NA,NA,NA
plant emergence counts,The number of plants per plot or subplot were counted during emergence by visual assessment on multiple dates early in the season. The number of plants with >= 1 centimeter of green tissue above ground surface were counted. ,NA,NA,NA,NA
Plant lodging incidence - Presence estimation,Plots were scored for lodging as assessed by main stalk leaning at an angle greater than 30 degrees from vertical. Scored as a binary trait.,NA,NA,NA,NA
